ConnectionsV1		#AEE446
MAS		#007FFF
Ticket#6845		#385334
add to changelog		#b8f785
add to what's new		#00FF00
announcement		#E0A68B
area/admin/user		#c7def8
area/alerting	Grafana Alerting	#c5def5
area/alerting-legacy	Legacy dashboard alerts, deprecated since 9.0	#c5def5
area/alerting/compliance	Issues that are related to alert generator compliance	#C5DEF5
area/alerting/evaluation	Issues when evaluating alerts	#c5def5
area/alerting/notifications	Issues when sending alert notifications	#c5def5
area/alerting/screenshots	Issues when seeing metrics when receiving alerts	#C5DEF5
area/annotations		#c7def8
area/auth		#c7def8
area/auth/authproxy		#c7def8
area/auth/ldap		#c7def8
area/auth/oauth		#c7def8
area/auth/rbac	Grafana role-based access control	#C5DEF5
area/auth/saml		#c7def8
area/auth/serviceaccount	Grafana service accounts	#C5DEF5
area/backend		#c7def8
area/backend/api		#c7def8
area/backend/config		#c7def8
area/backend/db		#c7def8
area/backend/db/migration		#c7def8
area/backend/db/mysql		#c7def8
area/backend/db/postgres		#c7def8
area/backend/db/sql	Back-end SQL database logic	#a9f9f7
area/backend/db/sqlite		#c7def8
area/backend/logging		#c7def8
area/backend/plugins		#c7def8
area/backend/security		#c7def8
area/backend/user		#c7def8
area/backend_srv		#c7def8
area/configuration	For issues concerning configuring Grafana	#c7def8
area/dashboard		#c7def8
area/dashboard/data-links		#c7def8
area/dashboard/drag-n-drop		#C61301
area/dashboard/folders		#c7def8
area/dashboard/history		#bfd4f2
area/dashboard/import		#c7def8
area/dashboard/links		#c5def5
area/dashboard/previews		#bfd4f2
area/dashboard/rows		#BFD4F2
area/dashboard/schemas		#ef8bc5
area/dashboard/scripted		#c7def8
area/dashboard/snapshot		#c5def5
area/dashboard/templating		#c7def8
area/dashboard/timerange		#c7def8
area/dashboard/timezone		#c7def8
area/dashboards/panel		#BFD4F2
area/dashgpt	Issues related to the dashgpt project	#fb9f5a
area/data/export		#c7def8
area/dataframe		#c7def8
area/dataplane	Dataplane Project (Data type contract)	#c7def8
area/datasource		#c7def8
